CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
59	20	671	2.89	691
60	16	636	2.45	652
61	30	673	4.27	703
62	23	631	3.52	654
63	18	639	2.74	657
64	21	668	3.05	689
65	30	669	4.29	699
66	11	635	1.70	646
67	19	597	3.08	616
68	19	610	3.02	629
69	14	596	2.30	610
70	14	592	2.31	606
71	11	590	1.83	601
72	18	581	3.01	599
73	22	556	3.81	578
74	13	599	2.12	612
75	19	515	3.56	534
76	13	586	2.17	599
77	24	520	4.41	544
78	12	513	2.29	525
79	10	514	1.91	524
80	11	519	2.08	530
81	20	491	3.91	511
82	16	521	2.98	537
83	13	482	2.63	495
84	19	500	3.66	519
85	22	468	4.49	490
86	17	472	3.48	489
87	20	470	4.08	490
88	24	463	4.93	487
89	25	450	5.26	475
90	20	404	4.72	424
91	23	435	5.02	458
92	20	444	4.31	464
93	19	428	4.25	447
94	21	417	4.79	438
95	19	394	4.60	413
96	19	386	4.69	405
97	16	370	4.15	386
98	17	387	4.21	404
99	15	352	4.09	367
100	16	294	5.16	310

